"uid","treatment","normalized_cell_count","Abducens nucleus","Accessory olfactory bulb, glomerular layer","Accessory olfactory bulb, mitral layer","Agranular insular area, dorsal part","Agranular insular area, posterior part","Agranular insular area, ventral part","alveus","Anterior amygdalar area","Anterior cingulate area, dorsal part","Anterior cingulate area, ventral part","Anterior pretectal nucleus","Anterodorsal nucleus","Anterolateral visual area","Anteromedial nucleus","Anteromedial visual area","Anteroventral nucleus of thalamus","arbor vitae","Basolateral amygdalar nucleus, anterior part","Basomedial amygdalar nucleus, posterior part","Caudoputamen","Central lateral nucleus of the thalamus","cerebal peduncle","cerebral aqueduct","choroid plexus","cingulum bundle","Claustrum","corpus callosum, posterior forceps","corpus callosum, splenium","crossed tectospinal pathway","Cuneiform nucleus","Dentate gyrus","Dentate nucleus","Diagonal band nucleus","Dorsal auditory area","Dorsal cochlear nucleus","dorsal fornix","dorsal hippocampal commissure","dorsal limb","Dorsal tegmental nucleus","Ectorhinal area/Layer 5","Ectorhinal area/Layer 6a","Entorhinal area","external medullary lamina of the thalamus","Facial motor nucleus","Fastigial nucleus","Fields of Forel","fimbria","Frontal pole, layer 1","Frontal pole, layer 2/3","genu of corpus callosum","Gigantocellular reticular nucleus","Globus pallidus, external segment","Globus pallidus, internal segment","Gustatory areas, layer 5","Gustatory areas, layer 6a","Induseum griseum","Inferior colliculus, central nucleus","Inferior colliculus, dorsal nucleus","Inferior colliculus, external nucleus","Infralimbic area, layer 1","Infralimbic area, layer 2/3","Infralimbic area, layer 5","Infralimbic area, layer 6a","Infralimbic area, layer 6b","Intermediate reticular nucleus","internal capsule","Interposed nucleus","Lateral dorsal nucleus of thalamus","Lateral habenula","Lateral hypothalamic area","lateral lemniscus","Lateral posterior nucleus of the thalamus","Lateral preoptic area","Lateral septal nucleus, caudal (caudodorsal) part","Lateral septal nucleus, rostral (rostroventral) part","Lateral septal nucleus, ventral part","Lateral vestibular nucleus","Laterodorsal tegmental nucleus","Magnocellular reticular nucleus","Medial geniculate complex","medial lemniscus","medial longitudinal fascicle","Medial preoptic area","Medial septal nucleus","Medial vestibular nucleus","middle cerebellar peduncle","Nucleus accumbens","Nucleus incertus","Nucleus of the brachium of the inferior colliculus","Nucleus of the trapezoid body","Nucleus prepositus","Nucleus raphe magnus","Nucleus raphe pontis","optic tract","Orbital area, lateral part","Orbital area, medial part","Orbital area, ventrolateral part","Parafascicular nucleus","Paragigantocellular reticular nucleus, dorsal part","Paragigantocellular reticular nucleus, lateral part","Parastrial nucleus","Paraventricular nucleus of the thalamus","Parvicellular reticular nucleus","Perirhinal area, layer 2/3","Pontine central gray","Pontine gray","Pontine reticular nucleus","Pontine reticular nucleus, caudal part","Posterior complex of the thalamus","posteromedial visual area","Prelimbic area, layer 1","Prelimbic area, layer 2/3","Prelimbic area, layer 5","Prelimbic area, layer 6a","Prelimbic area, layer 6b","Primary auditory area","Primary motor area","Primary somatosensory area","Primary visual area","pyramid","Red nucleus","Reticular nucleus of the thalamus","Retrosplenial area, dorsal part","Retrosplenial area, lateral agranular part","Retrosplenial area, ventral part","Secondary motor area","Septofimbrial nucleus","Spinal nucleus of the trigeminal, interpolar part","spinal tract of the trigeminal nerve","Spinal vestibular nucleus","stria medullaris","Sublaterodorsal nucleus","Submedial nucleus of the thalamus","Substantia innominata","Substantia nigra, reticular part","Superior colliculus, superficial gray layer","Superior olivary complex, medial part","Superior olivary complex, periolivary region","Supplemental somatosensory area","Supragenual nucleus","Tegmental reticular nucleus","Temporal association areas, layer 5","Temporal association areas, layer 6a","third ventricle","trapezoid body","Ventral anterior-lateral complex of the thalamus","Ventral auditory area","Ventral medial nucleus of the thalamus","Ventral posterior complex of the thalamus","ventral spinocerebellar tract","Visceral area, layer 5","Visceral area, layer 6a"
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.000836820083682008,0,0,-3.07736790528416,0,0,0,-3.07736790528416,-3.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07736790528416,-3.07736790528416,0,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,-3.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07736790528416,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00125523012552301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90127664622848,0,0,0,0,0,0,0,0,-2.90127664622848,0,0,-2.90127664622848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90127664622848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00167364016736402,0,0,0,0,-2.77633790962018,0,0,0,0,0,0,0,0,-2.77633790962018,0,0,0,0,0,0,0,0,0,-2.77633790962018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77633790962018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00209205020920502,0,-2.67942789661212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00251046025104603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60024665056449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00292887029288703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53329986093388,0,0,-2.53329986093388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00334728033472803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47530791395619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47530791395619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47530791395619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47530791395619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00376569037656904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42415539150881,0,0,0,-2.42415539150881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00418410041841004,0,0,0,0,0,-2.37839790094814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37839790094814,0,0,0,0,0,0,0,0,0,0,0,-2.37839790094814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37839790094814,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGE4467195 ANIMAL05 CORTCONTROL","Vehicle",0.00627615062761506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20230664189246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
