id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
180436360,"",5,677,VISC,Visceral area,378-1827,1.1352898592,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>345, ""abbreviation""=>""SSp-m"", ""name""=>""Primary somatosensory area, mouth"", ""color""=>""188064""}, {""id""=>353, ""abbreviation""=>""SSp-n"", ""name""=>""Primary somatosensory area, nose"", ""color""=>""188064""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>583, ""abbreviation""=>""CLA"", ""name""=>""Claustrum"", ""color""=>""8ADA87""}, {""id""=>677, ""abbreviation""=>""VISC"", ""name""=>""Visceral area"", ""color""=>""11AD83""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",M,C57BL/6J,16.174055455055402,11ad83,,"[5520, 4470, 10080]",false,https://connectivity.brain-map.org/projection/experiment/180436360
180719293,"",5,993,MOs,Secondary motor area,378-1822,1.0470485424,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,12.614024655764599,1f9d5a,,"[2460, 2960, 8170]",false,https://connectivity.brain-map.org/projection/experiment/180719293
180709942,"",5,993,MOs,Secondary motor area,378-1812,0.8089883536,"[{""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,12.5495082664138,1f9d5a,,"[2670, 2800, 8010]",false,https://connectivity.brain-map.org/projection/experiment/180709942
167902586,Rbp4-Cre_KL100,5,746,ORBvl,"Orbital area, ventrolateral part",Rbp4-Cre-129,0.5264251496,"[{""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",F,"",11.3720539261131,248a5e,,"[2710, 3990, 6400]",false,https://connectivity.brain-map.org/projection/experiment/167902586
180917660,"",5,677,VISC,Visceral area,378-1826,1.2988013696,"[{""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>677, ""abbreviation""=>""VISC"", ""name""=>""Visceral area"", ""color""=>""11AD83""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",M,C57BL/6J,10.9273755826372,11ad83,,"[6370, 4320, 10280]",false,https://connectivity.brain-map.org/projection/experiment/180917660
180717881,"",5,345,SSp-m,"Primary somatosensory area, mouth",378-1813,0.989409568,"[{""id""=>345, ""abbreviation""=>""SSp-m"", ""name""=>""Primary somatosensory area, mouth"", ""color""=>""188064""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",M,C57BL/6J,10.8912820993589,188064,,"[4620, 3340, 9380]",false,https://connectivity.brain-map.org/projection/experiment/180717881
180435652,"",5,895,ECT,Ectorhinal area,378-1825,1.075152512,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>895, ""abbreviation""=>""ECT"", ""name""=>""Ectorhinal area"", ""color""=>""0D9F91""}, {""id""=>922, ""abbreviation""=>""PERI"", ""name""=>""Perirhinal area"", ""color""=>""0E9684""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,C57BL/6J,10.8678794172814,0d9f91,,"[7860, 3740, 10390]",false,https://connectivity.brain-map.org/projection/experiment/180435652
180916954,"",5,993,MOs,Secondary motor area,378-1824,0.5682902792,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,10.521279036881198,1f9d5a,,"[5070, 2170, 6610]",false,https://connectivity.brain-map.org/projection/experiment/180916954
299783689,Cux2-IRES-Cre,5,104,AId,"Agranular insular area, dorsal part",Cux2-IRES-Cre-132732,0.6950145888,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>119, ""abbreviation""=>""AIv"", ""name""=>""Agranular insular area, ventral part"", ""color""=>""219866""}, {""id""=>345, ""abbreviation""=>""SSp-m"", ""name""=>""Primary somatosensory area, mouth"", ""color""=>""188064""}, {""id""=>583, ""abbreviation""=>""CLA"", ""name""=>""Claustrum"", ""color""=>""8ADA87""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",F,B6.129,10.3752909877262,219866,,"[4420, 4070, 9060]",false,https://connectivity.brain-map.org/projection/experiment/299783689
100141780,"",5,985,MOp,Primary motor area,378-795,0.17519667760000002,"[{""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,10.3544571799144,1f9d5a,,"[3920, 2280, 8020]",false,https://connectivity.brain-map.org/projection/experiment/100141780
180074890,"",5,677,VISC,Visceral area,378-1811,0.44787618960000003,"[{""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>672, ""abbreviation""=>""CP"", ""name""=>""Caudoputamen"", ""color""=>""98D6F9""}, {""id""=>677, ""abbreviation""=>""VISC"", ""name""=>""Visceral area"", ""color""=>""11AD83""}]",M,C57BL/6J,9.64811568460709,11ad83,,"[6370, 4360, 10270]",false,https://connectivity.brain-map.org/projection/experiment/180074890
166055636,Rbp4-Cre_KL100,5,993,MOs,Secondary motor area,Rbp4-Cre-91,0.48321424479999997,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,"",9.321009084652859,1f9d5a,,"[3380, 2230, 6410]",false,https://connectivity.brain-map.org/projection/experiment/166055636
112514915,"",5,378,SSs,Supplemental somatosensory area,378-965,0.30266741399999997,"[{""id""=>329, ""abbreviation""=>""SSp-bfd"", ""name""=>""Primary somatosensory area, barrel field"", ""color""=>""188064""}, {""id""=>353, ""abbreviation""=>""SSp-n"", ""name""=>""Primary somatosensory area, nose"", ""color""=>""188064""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}]",M,C57BL/6J,9.14287264609618,188064,,"[6530, 3220, 9270]",false,https://connectivity.brain-map.org/projection/experiment/112514915
166082128,Rbp4-Cre_KL100,5,993,MOs,Secondary motor area,Rbp4-Cre-113,0.4247628504,"[{""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,"",9.007660630431289,1f9d5a,,"[3200, 2470, 8050]",false,https://connectivity.brain-map.org/projection/experiment/166082128
112951804,"",5,329,SSp-bfd,"Primary somatosensory area, barrel field",378-1091,0.412418496,"[{""id""=>329, ""abbreviation""=>""SSp-bfd"", ""name""=>""Primary somatosensory area, barrel field"", ""color""=>""188064""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}]",M,C57BL/6J,8.53211160272952,188064,,"[6720, 2440, 8720]",false,https://connectivity.brain-map.org/projection/experiment/112951804
