category,disorder_group,n_human_rows,human_effect_size_mean,human_matched_regions,human_effect_size_metrics,n_mouse_subregions_pooled,control_n,cort_n,control_mean,cort_mean,cohens_d_cort_minus_control,t_value,p_value,direction_agreement
Hippocampus,MDD,1,-0.14,Hippocampus,Cohen's d,1,9,8,2.3747444444444445e-05,0.0002569080289425561,0.7169919053937468,1.524735458868085,0.14812984602347642,False
Hippocampus,PTSD,1,-0.17,Hippocampus,Cohen's d,1,9,8,2.3747444444444445e-05,0.0002569080289425561,0.7169919053937468,1.524735458868085,0.14812984602347642,False
Amygdala,MDD,1,-0.06,Amygdala,Cohen's d,17,9,8,0.0007195844444444445,0.0006351017736423198,-0.06461771895788578,-0.1300387268378525,0.8982636200809769,True
Amygdala,PTSD,1,-0.11,Amygdala,Cohen's d,17,9,8,0.0007195844444444445,0.0006351017736423198,-0.06461771895788578,-0.1300387268378525,0.8982636200809769,True
Anterior cingulate cortex (ACC),MDD,2,-0.114,Left rostral anterior cingulate cortex; Right rostral anterior cingulate cortex,Cohen's d,10,9,8,0.18337258477777776,0.1863623349888448,0.02586865277334323,0.05347395570677804,0.9580599687406276,False
Anterior cingulate cortex (ACC),PTSD,2,-0.086,Left caudal anterior cingulate cortex; Left rostral anterior cingulate cortex,standardized coefficient,10,9,8,0.18337258477777776,0.1863623349888448,0.02586865277334323,0.05347395570677804,0.9580599687406276,False
Orbitofrontal cortex (OFC),MDD,1,-0.134,Left medial orbitofrontal cortex,Cohen's d,15,9,8,0.05929824711111112,0.03969557470720214,-0.4438784174689644,-0.8953051262489674,0.3847661391185425,True
Orbitofrontal cortex (OFC),PTSD,4,-0.08825,Left lateral orbitofrontal gyrus; Left medial orbitofrontal gyrus; Right lateral orbitofrontal gyrus; Right medial orbitofrontal gyrus,standardized coefficient,15,9,8,0.05929824711111112,0.03969557470720214,-0.4438784174689644,-0.8953051262489674,0.3847661391185425,True
Insula,PTSD,2,-0.0695,Left insular gyrus; Right insular gyrus,standardized coefficient,15,9,8,0.0028333965555555557,0.013137960105754767,1.1868067663241606,2.502348040044344,0.024392481900574112,False
Posterior cingulate cortex (PCC) / retrosplenial cortex,PTSD,1,-0.078,Left posterior cingulate cortex,standardized coefficient,15,9,8,0.003530172555555556,0.03441124832288115,1.7762976349645427,3.7731568170171483,0.0018415987127383578,False
Nucleus accumbens,MDD,1,-0.019,Accumbens,Cohen's d,1,9,8,0.0028145536666666668,0.0007249398950367692,-0.7358569036574706,-1.4764108795005497,0.16051778366864447,True
Nucleus accumbens,PTSD,1,-0.081,Nucleus accumbens,Cohen's d,1,9,8,0.0028145536666666668,0.0007249398950367692,-0.7358569036574706,-1.4764108795005497,0.16051778366864447,True
Caudate + putamen (caudoputamen),MDD,2,-0.0055,Caudate; Putamen,Cohen's d,1,9,8,0.015730080222222224,0.0042006319700292685,-1.5362054588653422,-3.0725949220462447,0.0077383607743150016,True
Caudate + putamen (caudoputamen),PTSD,2,0.0112,Caudate; Putamen,Cohen's d,1,9,8,0.015730080222222224,0.0042006319700292685,-1.5362054588653422,-3.0725949220462447,0.0077383607743150016,False
Thalamus,MDD,1,-0.044,Thalamus,Cohen's d,24,9,8,0.0043848132044444444,0.030294457208606483,1.5238129790359067,3.216240692525165,0.00576877847167998,False
Thalamus,PTSD,1,-0.039,Thalamus,Cohen's d,24,9,8,0.0043848132044444444,0.030294457208606483,1.5238129790359067,3.216240692525165,0.00576877847167998,False
Pallidum,MDD,1,-0.001,Pallidum,Cohen's d,3,9,8,0.0007112164444444444,0.003381635411765598,1.0191843551849873,2.1214214533144253,0.050956124013766466,False
Pallidum,PTSD,1,0.047,Pallidum,Cohen's d,3,9,8,0.0007112164444444444,0.003381635411765598,1.0191843551849873,2.1214214533144253,0.050956124013766466,True
Lateral ventricle,MDD,1,0.056,Lateral ventricles,Cohen's d,1,9,8,0.00894647811111111,0.002128350578931912,-2.255015381028111,-4.562208588181994,0.00037401061760454756,False
Lateral ventricle,PTSD,1,0.084,Lateral ventricle,Cohen's d,1,9,8,0.00894647811111111,0.002128350578931912,-2.255015381028111,-4.562208588181994,0.00037401061760454756,False
Corpus callosum (proxy for tapetum),PTSD,1,-0.11,Tapetum (corpus callosum),Cohen's d,6,9,8,0.05225598888888889,0.015044475369418435,-1.3378938607008422,-2.6805595170195775,0.017112614386728963,True
