id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
167902586,Rbp4-Cre_KL100,5,746,ORBvl,"Orbital area, ventrolateral part",Rbp4-Cre-129,0.5264251496,"[{""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",F,"",6.378683311207809,248a5e,,"[2710, 3990, 6400]",false,https://connectivity.brain-map.org/projection/experiment/167902586
181895006,Slc17a6-IRES-Cre,5,362,MD,Mediodorsal nucleus of thalamus,Slc17a6-IRES-Cre-3316,0.44157863119999996,"[{""id""=>64, ""abbreviation""=>""AD"", ""name""=>""Anterodorsal nucleus"", ""color""=>""FF909F""}, {""id""=>155, ""abbreviation""=>""LD"", ""name""=>""Lateral dorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>186, ""abbreviation""=>""LH"", ""name""=>""Lateral habenula"", ""color""=>""FF909F""}, {""id""=>255, ""abbreviation""=>""AV"", ""name""=>""Anteroventral nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>362, ""abbreviation""=>""MD"", ""name""=>""Mediodorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>483, ""abbreviation""=>""MH"", ""name""=>""Medial habenula"", ""color""=>""FF909F""}, {""id""=>575, ""abbreviation""=>""CL"", ""name""=>""Central lateral nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}]",M,B6.129,4.0342932936111495,ff909f,,"[6250, 3800, 6440]",false,https://connectivity.brain-map.org/projection/experiment/181895006
286482701,Rbp4-Cre_KL100,5,48,ACAv,"Anterior cingulate area, ventral part",Rbp4-Cre_KL100-287,0.2290490888,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",F,C57BL/6J,3.44455053438125,40a666,,"[3910, 1950, 6000]",false,https://connectivity.brain-map.org/projection/experiment/286482701
175019536,"",5,181,RE,Nucleus of reuniens,378-1776,1.0188094357,"[{""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>181, ""abbreviation""=>""RE"", ""name""=>""Nucleus of reuniens"", ""color""=>""FF909F""}, {""id""=>186, ""abbreviation""=>""LH"", ""name""=>""Lateral habenula"", ""color""=>""FF909F""}, {""id""=>189, ""abbreviation""=>""RH"", ""name""=>""Rhomboid nucleus"", ""color""=>""FF909F""}, {""id""=>262, ""abbreviation""=>""RT"", ""name""=>""Reticular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>362, ""abbreviation""=>""MD"", ""name""=>""Mediodorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>366, ""abbreviation""=>""SMT"", ""name""=>""Submedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>599, ""abbreviation""=>""CM"", ""name""=>""Central medial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>629, ""abbreviation""=>""VAL"", ""name""=>""Ventral anterior-lateral complex of the thalamus"", ""color""=>""FF8084""}, {""id""=>685, ""abbreviation""=>""VM"", ""name""=>""Ventral medial nucleus of the thalamus"", ""color""=>""FF8084""}, {""id""=>797, ""abbreviation""=>""ZI"", ""name""=>""Zona incerta"", ""color""=>""F2483B""}, {""id""=>886, ""abbreviation""=>""RSPv"", ""name""=>""Retrosplenial area, ventral part"", ""color""=>""1AA698""}, {""id""=>907, ""abbreviation""=>""PCN"", ""name""=>""Paracentral nucleus"", ""color""=>""FF909F""}, {""id""=>1077, ""abbreviation""=>""PR"", ""name""=>""Perireunensis nucleus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1120, ""abbreviation""=>""IAM"", ""name""=>""Interanteromedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>560581559, ""abbreviation""=>""Xi"", ""name""=>""Xiphoid thalamic nucleus"", ""color""=>""FF909F""}]",M,C57BL/6J,3.3676041972692365,ff909f,,"[6890, 4990, 5550]",false,https://connectivity.brain-map.org/projection/experiment/175019536
180709230,"",5,723,ORBl,"Orbital area, lateral part",378-1810,0.797135528,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>119, ""abbreviation""=>""AIv"", ""name""=>""Agranular insular area, ventral part"", ""color""=>""219866""}, {""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>961, ""abbreviation""=>""PIR"", ""name""=>""Piriform area"", ""color""=>""6ACBBA""}]",M,C57BL/6J,3.207114676315429,248a5e,,"[3010, 4370, 7970]",false,https://connectivity.brain-map.org/projection/experiment/180709230
263106036,Rbp4-Cre_KL100,5,972,PL,Prelimbic area,Rbp4-Cre_KL100-222,0.391319397658643,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>44, ""abbreviation""=>""ILA"", ""name""=>""Infralimbic area"", ""color""=>""59B363""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,"",2.787437839571875,2fa850,,"[3480, 3440, 6280]",false,https://connectivity.brain-map.org/projection/experiment/263106036
478376197,Emx1-IRES-Cre,36,972,PL,Prelimbic area,Emx1-IRES-Cre-187655,0.4770648624,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>44, ""abbreviation""=>""ILA"", ""name""=>""Infralimbic area"", ""color""=>""59B363""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,B6.129,2.75584520946875,2fa850,,"[3050, 3130, 5060]",false,https://connectivity.brain-map.org/projection/experiment/478376197
174957972,"",5,181,RE,Nucleus of reuniens,378-1773,1.4578457263999998,"[{""id""=>15, ""abbreviation""=>""PT"", ""name""=>""Parataenial nucleus"", ""color""=>""FF909F""}, {""id""=>38, ""abbreviation""=>""PVH"", ""name""=>""Paraventricular hypothalamic nucleus"", ""color""=>""FF5D50""}, {""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>149, ""abbreviation""=>""PVT"", ""name""=>""Paraventricular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>181, ""abbreviation""=>""RE"", ""name""=>""Nucleus of reuniens"", ""color""=>""FF909F""}, {""id""=>189, ""abbreviation""=>""RH"", ""name""=>""Rhomboid nucleus"", ""color""=>""FF909F""}, {""id""=>262, ""abbreviation""=>""RT"", ""name""=>""Reticular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>366, ""abbreviation""=>""SMT"", ""name""=>""Submedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>599, ""abbreviation""=>""CM"", ""name""=>""Central medial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>797, ""abbreviation""=>""ZI"", ""name""=>""Zona incerta"", ""color""=>""F2483B""}, {""id""=>1077, ""abbreviation""=>""PR"", ""name""=>""Perireunensis nucleus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1120, ""abbreviation""=>""IAM"", ""name""=>""Interanteromedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>560581559, ""abbreviation""=>""Xi"", ""name""=>""Xiphoid thalamic nucleus"", ""color""=>""FF909F""}]",M,C57BL/6J,2.6381806609265652,ff909f,,"[6010, 4350, 5520]",false,https://connectivity.brain-map.org/projection/experiment/174957972
112306316,"",5,723,ORBl,"Orbital area, lateral part",378-929,0.31655744399999997,"[{""id""=>184, ""abbreviation""=>""FRP"", ""name""=>""Frontal pole, cerebral cortex"", ""color""=>""268F45""}, {""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}]",M,C57BL/6J,2.5585435405893393,248a5e,,"[2790, 2980, 7050]",false,https://connectivity.brain-map.org/projection/experiment/112306316
126860974,"",5,731,ORBm,"Orbital area, medial part",378-1347,0.282773346165625,"[{""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,C57BL/6J,2.5262342885253863,248a5e,,"[2350, 3590, 6020]",false,https://connectivity.brain-map.org/projection/experiment/126860974
