"","uid","treatment","location","n","total_cells","normalized_cell_count"
"1","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, posterior part, layer 2/3",10,3003,0.00333000333000333
"2","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","sensory root of the trigeminal nerve",14,3003,0.00466200466200466
"3","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Cortical subplate",4,3003,0.00133200133200133
"4","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, medial part, layer 5",9,3003,0.002997002997003
"5","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Flocculus",21,3003,0.00699300699300699
"6","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, medial part, layer 1",2,3003,0.000666000666000666
"7","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, ventral part, layer 2/3",7,3003,0.00233100233100233
"8","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterior auditory area, layer 6a",3,3003,0.000999000999000999
"9","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lateral septal nucleus, rostral (rostroventral) part",7,3003,0.00233100233100233
"10","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Dentate gyrus, molecular layer",7,3003,0.00233100233100233
"11","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Endopiriform nucleus, dorsal part",20,3003,0.00666000666000666
"12","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior amygdalar area",4,3003,0.00133200133200133
"13","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, mouth, layer 4",6,3003,0.001998001998002
"14","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","lateral olfactory tract, body",4,3003,0.00133200133200133
"15","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Ectorhinal area/Layer 5",4,3003,0.00133200133200133
"16","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary motor area, Layer 2/3",23,3003,0.00765900765900766
"17","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Pyramus (VIII)",6,3003,0.001998001998002
